line_no,bank,bank_variant,cue_name,battle_cue_id,cue,sequence,waveform,awb_stream,character_code,character_name,gender,voice_target,classification,action,status,uexp_path,awb_path,audio_duration_sec,english_text,thai_text,transcript_status,transcript_source,battle_cry_class,thai_battle_cry
1551,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17430,17430,43,43,43,44,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,2.101,This will lead us to victory.,สิ่งนี้จะนำเราไปสู่ชัยชนะ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1552,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17431,17431,44,44,44,45,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,1.482,Are you well?,เจ้าไม่เป็นไรใช่ไหม?,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1553,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17440,17440,45,45,45,46,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,1.063,Deep breaths.,หายใจลึก ๆ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1554,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17441,17441,46,46,46,47,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,2.152,War is a battle of wits.,สงครามคือการประลองปัญญา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1555,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17450,17450,47,47,47,48,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,2.415,Your strategy must be refined.,กลยุทธ์ของเจ้าต้องปรับปรุง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1556,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17451,17451,48,48,48,49,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,2.077,"Ah, so beautiful.",อา ช่างงดงาม,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1557,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17460,17460,49,49,49,50,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,1.889,The pain will end soon.,ความเจ็บปวดจะจบลงในไม่ช้า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1558,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17461,17461,50,50,50,51,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,2.042,No true pain.,ไม่มีความเจ็บปวดแท้จริง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1559,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17470,17470,51,51,51,52,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,1.489,"Hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm,",หึม...,NONVERBAL_BATTLE_CRY,openai/whisper-large-v3-turbo,STATUS_REACTION,หึม...
1560,V_M_BKR_G_EN,G,V_M_BKR_G_BTL_17471,17471,52,52,52,53,BKR,บุ๊กเกอร์,male,booker,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BKR_G_EN.uexp,work/opening_trace_phase2/awb/V_M_BKR_G_EN.awb,1.708,There is nowhere to run.,ไม่มีที่ให้หนี,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1561,V_M_BND_EN,,V_M_BND_BTL_00400,400,0,0,0,1,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.243,I shall try my level best.,ข้าจะพยายามให้ถึงที่สุด,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1562,V_M_BND_EN,,V_M_BND_BTL_00500,500,1,1,1,2,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.142,Let us pry out their weakness.,มาหาจุดอ่อนของพวกมันกัน,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1563,V_M_BND_EN,,V_M_BND_BTL_00600,600,2,2,2,3,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.806,There is no mercy on the battlefield.,สนามรบไม่มีความเมตตา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1564,V_M_BND_EN,,V_M_BND_BTL_00700,700,3,3,3,4,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.201,I see a path to victory.,ข้ามองเห็นหนทางสู่ชัยชนะ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1565,V_M_BND_EN,,V_M_BND_BTL_01700,1700,4,4,4,5,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.758,This is troubling.,น่าหนักใจ,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1566,V_M_BND_EN,,V_M_BND_BTL_01800,1800,5,5,5,6,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.75,I must find a way.,ข้าต้องหาทาง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1567,V_M_BND_EN,,V_M_BND_BTL_01900,1900,6,6,6,7,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.979,These foes are not to be trifled with.,ศัตรูพวกนี้ประมาทไม่ได้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1568,V_M_BND_EN,,V_M_BND_BTL_02000,2000,7,7,7,8,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.493,Victory is not yet out of reach.,ชัยชนะยังไม่ไกลเกินเอื้อม,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1569,V_M_BND_EN,,V_M_BND_BTL_02700,2700,8,8,8,9,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.157,Oh!,โอ๊ะ!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1570,V_M_BND_EN,,V_M_BND_BTL_02800,2800,9,9,9,10,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.834,Agh!,อั่ก!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1571,V_M_BND_EN,,V_M_BND_BTL_02900,2900,10,10,10,11,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.672,[BATTLE CRY],ฮ่า!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ฮ่า!
1572,V_M_BND_EN,,V_M_BND_BTL_03000,3000,11,11,11,12,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.623,NOW!,ตอนนี้!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1573,V_M_BND_EN,,V_M_BND_BTL_03100,3100,12,12,12,13,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.842,My turn!,ตาข้า!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1574,V_M_BND_EN,,V_M_BND_BTL_03200,3200,13,13,13,14,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.733,[BATTLE CRY],ย๊าก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,ATTACK_CRY,ย๊าก!
1575,V_M_BND_EN,,V_M_BND_BTL_03300,3300,14,14,14,15,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.545,Your defense is weak!,การป้องกันของเจ้าอ่อนแอ!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1576,V_M_BND_EN,,V_M_BND_BTL_03400,3400,15,15,15,16,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.895,Sloppy!,สะเพร่า!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1577,V_M_BND_EN,,V_M_BND_BTL_03500,3500,16,16,16,17,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.943,You were overconfident.,เจ้ามั่นใจเกินไป,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1578,V_M_BND_EN,,V_M_BND_BTL_03600,3600,17,17,17,18,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.659,You have nothing left.,เจ้าไม่เหลืออะไรแล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1579,V_M_BND_EN,,V_M_BND_BTL_08800,8800,18,18,18,19,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.937,My stratagem is superior.,กลยุทธ์ของข้าเหนือกว่า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1580,V_M_BND_EN,,V_M_BND_BTL_08900,8900,19,19,19,20,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.111,I struck true.,ข้าโจมตีเข้าเป้า,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1581,V_M_BND_EN,,V_M_BND_BTL_09000,9000,20,20,20,21,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.002,Follow my lead.,ตามข้ามา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1582,V_M_BND_EN,,V_M_BND_BTL_14200,14200,21,21,21,22,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.354,That seemed to work.,ดูเหมือนจะได้ผล,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1583,V_M_BND_EN,,V_M_BND_BTL_14300,14300,22,22,22,23,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.313,Just as I planned.,เป็นไปตามแผน,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1584,V_M_BND_EN,,V_M_BND_BTL_14400,14400,23,23,23,24,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.303,It cannot be.,เป็นไปไม่ได้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1585,V_M_BND_EN,,V_M_BND_BTL_14500,14500,24,24,24,25,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.766,I must take a different tack.,ข้าต้องเปลี่ยนแนวทาง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1586,V_M_BND_EN,,V_M_BND_BTL_14600,14600,25,25,25,26,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.6,[BATTLE CRY],อ๊าก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อ๊าก!
1587,V_M_BND_EN,,V_M_BND_BTL_14700,14700,26,26,26,27,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.685,[BATTLE CRY],อึ่ก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึ่ก!
1588,V_M_BND_EN,,V_M_BND_BTL_14800,14800,27,27,27,28,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.416,[BATTLE CRY],อึก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึก!
1589,V_M_BND_EN,,V_M_BND_BTL_14900,14900,28,28,28,29,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.69,[BATTLE CRY],อึ่ก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึ่ก!
1590,V_M_BND_EN,,V_M_BND_BTL_15000,15000,29,29,29,30,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.821,My lord!,นายท่าน!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1591,V_M_BND_EN,,V_M_BND_BTL_15100,15100,30,30,30,31,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.933,[BATTLE CRY],อึก!,NONVERBAL_BATTLE_CRY,heuristic-after-asr:openai/whisper-large-v3-turbo,HURT_CRY,อึก!
1592,V_M_BND_EN,,V_M_BND_BTL_15200,15200,31,31,31,32,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.359,You deserve this.,เจ้าสมควรโดนแบบนี้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1593,V_M_BND_EN,,V_M_BND_BTL_15300,15300,32,32,32,33,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.46,You've been deceived.,เจ้าถูกหลอกแล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1594,V_M_BND_EN,,V_M_BND_BTL_15310,15310,33,33,33,34,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.664,Now.,ตอนนี้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1595,V_M_BND_EN,,V_M_BND_BTL_15320,15320,34,34,34,35,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.473,I anticipated that.,ข้าคาดไว้แล้ว,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1596,V_M_BND_EN,,V_M_BND_BTL_15400,15400,35,35,35,36,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.249,You're an open book!,ข้าอ่านเจ้าออกหมด!,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1597,V_M_BND_EN,,V_M_BND_BTL_15500,15500,36,36,36,37,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.458,"You came, you missed.",เจ้ามาแล้วก็พลาด,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1598,V_M_BND_EN,,V_M_BND_BTL_15600,15600,37,37,37,38,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.454,I will remember this.,ข้าจะจำเรื่องนี้ไว้,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1599,V_M_BND_EN,,V_M_BND_BTL_15700,15700,38,38,38,39,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.578,This will be of great use.,นี่จะมีประโยชน์มาก,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1600,V_M_BND_EN,,V_M_BND_BTL_15800,15800,39,39,39,40,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.392,My utmost thanks.,ขอขอบคุณอย่างสูง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1601,V_M_BND_EN,,V_M_BND_BTL_15900,15900,40,40,40,41,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,0.913,Splendid.,ยอดเยี่ยม,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1602,V_M_BND_EN,,V_M_BND_BTL_16000,16000,41,41,41,42,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.551,Your judgment is sound.,การตัดสินใจของเจ้าถูกต้อง,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1603,V_M_BND_EN,,V_M_BND_BTL_16100,16100,42,42,42,43,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,1.559,I shall make use of this.,ข้าจะใช้สิ่งนี้ให้เป็นประโยชน์,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1604,V_M_BND_EN,,V_M_BND_BTL_16200,16200,43,43,43,44,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,3.338,My intuition was mistaken.,สัญชาตญาณของข้าผิดไป,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
1605,V_M_BND_EN,,V_M_BND_BTL_16300,16300,44,44,44,45,BND,Benedict,male,benedict,BATTLE_VOICE_BTL,CANDIDATE_FOR_THAI_BATTLE_VOICE,READY_FOR_REVIEW,work/opening_trace_phase3/cuesheet_packages/V_M_BND_EN.uexp,work/opening_trace_phase2/awb/V_M_BND_EN.awb,2.458,Lord Saranoa.,ท่านเซเรโนอา,ASR_TRANSCRIBED,openai/whisper-large-v3-turbo,,
